ProductoID,Nombre,CategoriaID,ProveedorID,Precio
PROD0001,professional,6,PROV008,77.08
PROD0002,never,10,PROV010,241.75
PROD0003,drive,4,PROV013,416.52
PROD0004,hit,8,PROV013,315.73
PROD0005,onto,1,PROV011,327.5
PROD0006,never,7,PROV005,231.84
PROD0007,describe,6,PROV009,34.94
PROD0008,us,7,PROV007,487.72
PROD0009,offer,5,PROV005,429.12
PROD0010,bag,7,PROV013,464.16
PROD0011,continue,9,PROV018,200.46
PROD0012,environmental,7,PROV015,272.35
PROD0013,seven,7,PROV016,412.73
PROD0014,industry,9,PROV020,224.14
PROD0015,quite,6,PROV018,280.97
PROD0016,scientist,8,PROV012,412.71
PROD0017,young,2,PROV019,463.83
PROD0018,court,7,PROV007,434.89
PROD0019,effort,2,PROV005,302.15
PROD0020,Congress,3,PROV011,122.79
PROD0021,senior,9,PROV011,201.38
PROD0022,fire,1,PROV010,330.77
PROD0023,spring,5,PROV008,79.58
PROD0024,order,5,PROV002,214.38
PROD0025,figure,1,PROV009,193.88
PROD0026,dog,8,PROV013,128.03
PROD0027,college,2,PROV011,190.44
PROD0028,tax,9,PROV014,79.71
PROD0029,least,5,PROV017,337.72
PROD0030,thought,7,PROV003,232.61
PROD0031,more,1,PROV010,297.39
PROD0032,heavy,7,PROV004,108.33
PROD0033,include,1,PROV011,310.37
PROD0034,wrong,4,PROV018,396.92
PROD0035,home,8,PROV002,410.67
PROD0036,push,1,PROV010,366.3
PROD0037,story,6,PROV014,371.79
PROD0038,somebody,6,PROV009,364.99
PROD0039,lay,8,PROV014,324.48
PROD0040,class,4,PROV004,412.54
PROD0041,behind,1,PROV019,390.46
PROD0042,voice,2,PROV015,90.66
PROD0043,nation,6,PROV008,44.17
PROD0044,tree,5,PROV008,377.71
PROD0045,quite,9,PROV011,331.01
PROD0046,toward,10,PROV011,330.75
PROD0047,value,1,PROV006,123.36
PROD0048,education,5,PROV007,240.9
PROD0049,authority,4,PROV014,468.5
PROD0050,ever,10,PROV016,265.4
